Name,RBI,Rank
Chili Davis,1372,85
Lave Cross,1371,86
Garret Anderson,1365,87
Orlando Cepeda,1365,88
Bobby Abreu,1363,89
Carlos Lee,1363,90
Brooks Robinson,1357,91
Darrell Evans,1354,92
Gary Gaetti,1341,93
Johnny Mize,1337,94
Mike Piazza,1335,95
Duke Snider,1333,96
Ivan Rodriguez,1332,97
Ron Santo,1331,98
Carlton Fisk,1330,99
Al Oliver,1326,100
Nelson Cruz,1325,101
Roger Connor,1322,102
Ruben Sierra,1322,103
Graig Nettles,1314,104
Pete Rose,1314,105
Derek Jeter,1311,106
Mickey Vernon,1311,107
Larry Walker,1311,108
Paul Waner,1309,109
Steve Garvey,1308,110
Paul Molitor,1307,111
Robinson Cano,1306,112
Roberto Clemente,1305,113
Enos Slaughter,1304,114
Hugh Duffy,1302,115
Miguel Tejada,1302,116
Eddie Collins,1300,117
Sam Thompson,1299,118
Mark Teixeira,1298,119
Dan Brouthers,1296,120
Andruw Jones,1289,121
Moises Alou,1287,122
Scott Rolen,1287,123
Del Ennis,1284,124
Bob Johnson,1283,125
Don Baylor,1276,126
Hank Greenberg,1276,127
Gil Hodges,1274,128
Freddie Freeman,1273,129
Pie Traynor,1273,130
Tino Martinez,1271,131
Paul O'Neill,1269,132
Dale Murphy,1266,133
Edwin Encarnacion,1261,134
Edgar Martinez,1261,135
Bernie Williams,1257,136
Zack Wheat,1248,137
Bobby Doerr,1247,138
Frankie Frisch,1244,139
Lee May,1244,140
Albert Belle,1239,141
George Foster,1239,142
Magglio Ordonez,1236,143
Lance Berkman,1234,144
Bill Dahlen,1233,145
John Olerud,1230,146
Gary Carter,1225,147
Matt Holliday,1220,148
Paul Goldschmidt,1219,149
Matt Williams,1218,150
Dave Kingman,1210,151
Bill Dickey,1209,152
Bill Buckner,1208,153
Raul Ibanez,1207,154
Ellis Burks,1206,155
Will Clark,1205,156
Adrian Gonzalez,1202,157
Chuck Klein,1201,158
Jim Edmonds,1199,159
Bob Elliott,1195,160
Julio Franco,1194,161
Ryan Howard,1194,162
Joe Kelley,1194,163
Tony Lazzeri,1191,164
Boog Powell,1187,165
Joe Torre,1185,166
Heinie Manush,1183,167
Robin Ventura,1182,168
Jack Clark,1180,169
Gabby Hartnett,1179,170
Victor Martinez,1178,171
Vic Wertz,1178,172
Sherry Magee,1176,173
Craig Biggio,1175,174
George Sisler,1175,175
Vern Stephens,1174,176
Bobby Bonilla,1173,177
Nolan Arenado,1171,178
Vada Pinson,1170,179
Adam Dunn,1168,180
Steve Finley,1167,181
Bobby Veach,1166,182
Earl Averill,1164,183
Willie Horton,1163,184
Rocky Colavito,1159,185
Evan Longoria,1159,186
Alfonso Soriano,1159,187
Ryan Braun,1154,188
B.J. Surhoff,1153,189
Rudy York,1152,190
Roy Sievers,1147,191
Mark Grace,1146,192
Joey Votto,1144,193
Dante Bichette,1141,194
Ken Boyer,1141,195
Ron Cey,1139,196
Johnny Damon,1139,197
Tony Gwynn,1138,198
Tommy Corcoran,1135,199
Roberto Alomar,1134,200
Joe Morgan,1133,201
Greg Luzinski,1128,202
Cecil Cooper,1125,203
Tim Wallach,1125,204
Ed McKean,1124,205
Andrew McCutchen,1123,206
Joe Adcock,1122,207
Bobby Wallace,1121,208
Dick Allen,1119,209
Frank Howard,1119,210
Carlos Santana,1118,211
Luke Appling,1116,212
Rickey Henderson,1115,213
George Hendrick,1111,214
Fred Lynn,1111,215
Todd Zeile,1110,216
Buddy Bell,1106,217
Wally Joyner,1106,218
Vinny Castilla,1105,219
Giancarlo Stanton,1104,220
Norm Cash,1103,221
Don Mattingly,1099,222
Hal McRae,1097,223
Manny Machado,1095,224
Jimmy Ryan,1093,225
Reggie Smith,1092,226
Kent Hrbek,1086,227
Kirby Puckett,1085,228
Lou Whitaker,1084,229
Brian Giles,1078,230
Derrek Lee,1078,231
Sam Rice,1078,232
Bill Terry,1078,233
Jose Cruz,1077,234
Charlie Grimm,1077,235
Pinky Higgins,1075,236
Brian Downing,1073,237
Jermaine Dye,1072,238
Greg Vaughn,1072,239
Jeff Conine,1071,240
Jimmy Dykes,1071,241
Keith Hernandez,1071,242
J.D. Martinez,1071,243
Shawn Green,1070,244
Lance Parrish,1070,245
Bid McPhee,1067,246
Bob Meusel,1067,247
Kiki Cuyler,1065,248
Jorge Posada,1065,249
Ken Singleton,1065,250
Mo Vaughn,1064,251
Hack Wilson,1063,252
Stuffy McInnis,1062,253
Ryne Sandberg,1061,254
Ryan Zimmerman,1061,255
Carl Furillo,1058,256
Herman Long,1055,257
Joe Sewell,1055,258
Willie Davis,1053,259
Tommy Davis,1052,260
George Scott,1051,261
Joe Kuhel,1049,262
Nick Markakis,1046,263
Ron Fairly,1044,264
Bobby Murcer,1043,265
Sal Bando,1039,266
Joe Judge,1034,267
Matt Kemp,1031,268
Michael Young,1030,269
Prince Fielder,1028,270
Ted Kluszewski,1028,271
Eric Karros,1027,272
Bobby Thomson,1026,273
Chase Utley,1025,274
Bobby Bonds,1024,275
Minnie Minoso,1023,276
Dixie Walker,1023,277
Travis Fryman,1022,278
Yadier Molina,1022,279
Bret Boone,1021,280
High Pockets Kelly,1020,281
Fred Pfeffer,1019,282
Brian McCann,1018,283
David Justice,1017,284
Tim Salmon,1016,285
Rod Carew,1015,286
Fred Clarke,1015,287
Ralph Kiner,1015,288
Wade Boggs,1014,289
George Van Haltren,1014,290
Dusty Baker,1013,291
Hal Trosky,1012,292
Bryce Harper,1010,293
Jim O'Rourke,1010,294
Cecil Fielder,1008,295
Ron Gant,1008,296
Amos Otis,1007,297
Cy Williams,1005,298
Alan Trammell,1003,299
Justin Upton,1003,300
George Bell,1002,301
Darryl Strawberry,1000,302
Babe Herman,997,303
Wally Pipp,997,304
Gee Walker,997,305
Marty McManus,996,306
Ed Konetchy,992,307
Larry Parrish,992,308
Ernie Lombardi,990,309
Bing Miller,990,310
Bob Watson,989,311
Home Run Baker,987,312
Ryan Klesko,987,313
Justin Morneau,985,314
Bobby Lowe,984,315
Ken Caminiti,983,316
Jimmy Collins,983,317
Reggie Sanders,983,318
Mike Trout,982,319
Jeromy Burnitz,981,320
Edd Roush,981,321
Tim Raines,980,322
Gary Matthews,978,323
Ben Chapman,977,324
Billy Nash,977,325
John Anderson,976,326
Pat Burrell,976,327
Cesar Cedeno,976,328
Andy Pafko,976,329
Jose Bautista,975,330
Joe Gordon,975,331
Chris Chambliss,972,332
Larry Doby,970,333
David Wright,970,334
Mike Cameron,968,335
Jack Doyle,968,336
Del Pratt,968,337
Marquis Grissom,967,338
Jay Buhner,965,339
Anthony Rizzo,965,340
Jimmy Wynn,964,341
Frank Thomas,962,342
José Abreu,960,343
Barry Larkin,960,344
Vernon Wells,958,345
Salvador Perez,957,346
Jesse Burkett,952,347
Mike Lowell,952,348
Jay Bruce,951,349
George Burns,951,350
Harry Davis,951,351
Frank McCormick,951,352
Brandon Phillips,951,353
Omar Vizquel,951,354
Dolph Camilli,950,355
Dave Concepcion,950,356
Troy Glaus,950,357
King Kelly,950,358
Bill Nicholson,948,359
Tony Oliva,947,360
Terry Pendleton,946,361
Adam Jones,945,362
Richie Sexson,943,363
Gus Bell,942,364
Hunter Pence,942,365
Hal Chase,941,366
Curtis Granderson,937,367
Nomar Garciaparra,936,368
Jimmy Rollins,936,369
Eric Davis,934,370
Larry Gardner,934,371
Tommy Tucker,932,372
Travis Jackson,929,373
Jackie Jensen,929,374
Pinky Whitney,927,375
Arky Vaughan,926,376
Danny Tartabull,925,377
Deron Johnson,923,378
Joe Mauer,923,379
Edgar Renteria,923,380
Phil Cavarretta,920,381
Marcell Ozuna,920,382
Benito Santiago,920,383
Tom Brunansky,919,384
Toby Harrah,918,385
Hanley Ramirez,917,386
Ken Williams,913,387
Duke Farrell,912,388
Ian Kinsler,909,389
A.J. Pierzynski,909,390
Mike Sweeney,909,391
Harry Stovey,908,392
Aubrey Huff,904,393
Eric Chavez,902,394
Ben Oglivie,901,395
Lou Brock,900,396
Steve Brodie,900,397
José Ramírez,900,398
Matt Stairs,899,399
Wally Berger,898,400
Pedro Guerrero,898,401
Eugenio Suárez,898,402
Andre Thornton,895,403
Eric Hosmer,893,404
Rico Carty,890,405
Richie Hebner,890,406
Nick Castellanos,889,407
Bill Skowron,888,408
Jose Guillen,887,409
Jeff Heath,887,410
Frank White,886,411
Pee Wee Reese,885,412
Tony Cuccinello,884,413
Chet Lemon,884,414
Rabbit Maranville,884,415
Charlie Comiskey,883,416
Buck Ewing,883,417
Jeff Burroughs,882,418
Adam LaRoche,882,419
Doug DeCinces,879,420
John Mayberry,879,421
J.T. Snow,877,422
Hank Sauer,876,423
Ray Durham,875,424
Ray Lankford,874,425
Carney Lansford,874,426
Joe Vosmik,874,427
Jhonny Peralta,873,428
Mark Reynolds,871,429
Kirk Gibson,870,430
George Kell,870,431
Bill White,870,432
Mookie Betts,869,433
Asdrubal Cabrera,869,434
John Ward,867,435
Cliff Floyd,865,436
Bobby Grich,864,437
Javy Lopez,864,438
Jay Bell,860,439
Bill Madlock,860,440
Raul Mondesi,860,441
Jack Fournier,859,442
Ken Griffey,859,443
Roy Campanella,856,444
Willie McGee,856,445
Melky Cabrera,854,446
Orlando Cabrera,854,447
Bill Mazeroski,853,448
Felipe Alou,852,449
Ken Keltner,852,450
Mike Tiernan,851,451
Roger Maris,850,452
Buddy Myer,850,453
Dean Palmer,849,454
Ossie Bluege,848,455
Jose Altuve,846,456
Devon White,846,457
Tony Fernandez,844,458
Doc Cramer,842,459
Johnny Callison,840,460
Hughie Jennings,840,461
Deacon McGuire,840,462
Billy Herman,839,463
Sam West,838,464
Henry Larkin,836,465
Lou Bierbauer,835,466
Chick Hafey,833,467
Oyster Burns,832,468
Mickey Cochrane,832,469
Augie Galan,830,470
Gene Woodling,830,471
Harlond Clift,829,472
Bob Boone,826,473
Willie Kamm,826,474
Darrell Porter,826,475
Jack Glasscock,825,476
Justin Turner,825,477
Hubie Brooks,824,478
Tony Clark,824,479
Claudell Washington,824,480
Kid Gleason,823,481
Hardy Richardson,822,482
Brian Jordan,821,483
Baby Doll Jacobson,819,484
Irish Meusel,819,485
Tony Phillips,819,486
Carlos Pena,818,487
Gus Suhr,818,488
Harry Hooper,817,489
Josh Donaldson,816,490
Juan Uribe,816,491
Jose Valentin,816,492
Tony Armas,815,493
Xander Bogaerts,813,494
Jimmy Sheckard,813,495
Walker Cooper,812,496
Willie Jones,812,497
Francisco Lindor,812,498
Tom Daly,811,499
Willie Keeler,810,500
Tommy Leach,810,501
Joe Rudi,810,502
Sherm Lollar,808,503
Kevin McReynolds,807,504
Kyle Seager,807,505
Sid Gordon,805,506
Nick Swisher,803,507
Willie Montanez,802,508
Christian Yelich,802,509
Charlie Blackmon,801,510
Max Carey,800,511
Red Kress,799,512
Cy Seymour,799,513
Jayson Werth,799,514
Germany Smith,797,515
Bob Allison,796,516
Jimmy Williams,796,517
Heinie Zimmerman,796,518
J.D. Drew,795,519
Tommy Henrich,795,520
Michael Cuddyer,794,521
George McQuinn,794,522
Joe Quinn,794,523
Alex Rios,794,524
Larry Doyle,793,525
Duffy Lewis,793,526
Ozzie Smith,793,527
Carl Everett,792,528
Frank Schulte,792,529
Andy Van Slyke,792,530
Richie Zisk,792,531
Luis Aparicio,791,532
Nellie Fox,790,533
Lou Boudreau,789,534
Carlos González,785,535
Joe Jackson,785,536
Bibb Falk,784,537
Shin-Soo Choo,782,538
Gorman Thomas,782,539
Jason Thompson,782,540
Joe Tinker,782,541
Kenny Lofton,781,542
Chris Davis,780,543
Ichiro Suzuki,780,544
Troy Tulowitzki,780,545
Freddie Lindstrom,779,546
Kip Selbach,779,547
Aaron Judge,777,548
Gus Zernial,776,549
Elvis Andrus,775,550
Jose Cardenal,775,551
Rick Monday,775,552
Carlos Baerga,774,553
Bob Bailey,773,554
Sam Chapman,773,555
Rico Petrocelli,773,556
Red Schoendienst,773,557
Riggs Stephenson,773,558
Russell Martin,771,559
Marcus Semien,771,560
Bill Hallman,769,561
Rondell White,768,562
Ben Zobrist,768,563
Bruce Campbell,766,564
Carl Crawford,766,565
Lou Piniella,766,566
Dan Driessen,763,567
Elston Howard,762,568
Matt Olson,762,569
Harry Steinfeldt,762,570
Brady Anderson,761,571
Howard Johnson,760,572
Charlie Keller,760,573
Hideki Matsui,760,574
Kevin Mitchell,760,575
Bill Freehan,758,576
Billy Shindle,758,577
Roy White,758,578
Alvin Dark,757,579
Ramon Hernandez,757,580
Tip O'Neill,757,581
Jason Varitek,757,582
Rich Aurilia,756,583
Elmer Flick,756,584
Deacon White,756,585
Denny Lyons,755,586
Jason Bay,754,587
Garry Maddox,754,588
Melvin Mora,754,589
Paul Hines,751,590
Dave Foutz,749,591
Alex Gordon,749,592
Brandon Crawford,748,593
Earl Sheely,747,594
Jorge Orta,745,595
Terry Steinbach,745,596
Edgardo Alfonzo,744,597
Jason Kendall,744,598
Mike Napoli,744,599
George Springer,744,600
Cupid Childs,743,601
Phil Nevin,743,602
Dick Stuart,743,603
Charlie Hayes,740,604
Kendrys Morales,740,605
John Reilly,740,606
Earl Torgeson,740,607
Roger Peckinpaugh,739,608
Joe Randa,739,609
Phil Garner,738,610
Jack O'Connor,738,611
Ray Boone,737,612
Lloyd Moseby,737,613
Tom Brown,736,614
Patsy Donovan,736,615
Billy Hamilton,736,616
Pete O'Brien,736,617
Sean Casey,735,618
Tommy McCarthy,735,619
Daniel Murphy,735,620
Patsy Tebeau,735,621
Rick Ferrell,734,622
Jackie Robinson,734,623
Geoff Jenkins,733,624
Fred Merkle,733,625
Mickey Tettleton,732,626
Travis Hafner,731,627
Jason Heyward,730,628
Kurt Suzuki,730,629
Don Money,729,630
Dave Philley,729,631
Buster Posey,729,632
Billy Butler,728,633
Frank Malzone,728,634
Garry Templeton,728,635
Jeff Cirillo,727,636
Dan McGann,727,637
Mike Greenwell,726,638
Dustin Pedroia,725,639
Dummy Hoy,724,640
Howie Kendrick,724,641
Royce Clayton,723,642
Jeffrey Leonard,723,643
Adam Lind,723,644
Placido Polanco,723,645
Eddie Robinson,723,646
Glenn Wright,723,647
Jake Daubert,722,648
Doug Rader,722,649
Wilbert Robinson,722,650
Sam Mertes,721,651
Joe Pepitone,721,652
Michael Brantley,720,653
Mark Kotsay,720,654
Chris Speier,720,655
Gavvy Cravath,719,656
Mike Griffin,719,657
Jose Reyes,719,658
Tony Batista,718,659
Al Cowens,717,660
Al Rosen,717,661
Jesse Barfield,716,662
Dots Miller,715,663
Buck Freeman,713,664
George Grantham,712,665
Ian Desmond,711,666
Bengie Molina,711,667
Dick Bartell,710,668
Marlon Byrd,710,669
Wally Schang,710,670
Shano Collins,709,671
Bobby Higginson,709,672
Jeff King,709,673
Granny Hamner,708,674
Dave Henderson,708,675
Tony Pena,708,676
Dick Groat,707,677
Kyle Schwarber,707,678
John Stone,707,679
Jim Fregosi,706,680
Dan Uggla,706,681
Zeke Bonura,704,682
Walt Dropo,704,683
Hank Bauer,703,684
Juan Samuel,703,685
Danny Murphy,702,686
Mike Stanley,702,687
Josh Hamilton,701,688
Thurman Munson,701,689
Rafael Devers,699,690
Darin Erstad,699,691
Cliff Johnson,699,692
Kevin Millar,699,693
Wally Post,699,694
Carl Reynolds,699,695
Alex Bregman,698,696
Jeff Francoeur,698,697
Dick McAuliffe,697,698
Von Hayes,696,699
Luke Sewell,696,700
Milt Stock,696,701
Lu Blue,695,702
Carlos Correa,695,703
Aaron Hill,695,704
Pete Fox,694,705
Roy Smalley,694,706
Alex Gonzalez,690,707
Candy LaChance,690,708
Leo Cardenas,689,709
J.J. Hardy,688,710
Fred Tenney,688,711
Curt Walker,688,712
Jack Clements,687,713
Andre Ethier,687,714
Willie Randolph,687,715
Mike Hargrove,686,716
Bob Horner,685,717
Damion Easley,684,718
David Segui,684,719
Tom Burns,683,720
Alvin Davis,683,721
Mike Moustakas,683,722
Eddie Yost,683,723
Dmitri Young,683,724
Donn Clendenon,682,725
Wally Moses,679,726
Tilly Walker,679,727
Starlin Castro,677,728
Al Smith,676,729
Art Fletcher,675,730
Lyle Overbay,675,731
Larry Hisle,674,732
Keith Moreland,674,733
Gene Tenace,674,734
Smoky Burgess,673,735
Claude Ritchey,673,736
Sam Wise,672,737
Harvey Kuenn,671,738
Anthony Rendon,671,739
James Loney,669,740
Leon Wagner,669,741
Derek Bell,668,742
Shawon Dunston,668,743
Preston Wilson,668,744
Jerry Denny,667,745
Juan Encarnacion,667,746
Ned Williamson,667,747
Oscar Gamble,666,748
Javier Báez,664,749
Gregg Jefferies,663,750
Elmer Smith,663,751
Randy Winn,662,752
DJ LeMahieu,661,753
Wally Moon,661,754
Carlos Guillen,660,755
Pete Browning,659,756
Matt Carpenter,659,757
Ripper Collins,659,758
Bruce Bochte,658,759
Vic Power,658,760
Del Crandall,657,761
Cecil Travis,657,762
Bones Ely,656,763
Tito Francona,656,764
Billy Jurges,656,765
Pete Incaviglia,655,766
Clete Boyer,654,767
Jose Vidro,654,768
George Cutshaw,653,769
Al Lopez,652,770
J.T. Realmuto,652,771
Starling Marte,651,772
Pete Alonso,650,773
Frankie Crosetti,649,774
Brandon Inge,648,775
Aurelio Rodriguez,648,776
Spud Davis,647,777
Bert Campaneris,646,778
Tim McCarver,645,779
Jack Rowe,644,780
Don Mincher,643,781
John Morrill,643,782
Stan Hack,642,783
Fred Luderus,642,784
Bill Robinson,641,785
Josh Bell,640,786
Todd Frazier,640,787
Mark Grudzielanek,640,788
Eddie Miller,640,789
Coco Crisp,639,790
Pablo Sandoval,639,791
Kitty Bransfield,637,792
Eduardo Escobar,636,793
Curt Flood,636,794
Norm Siebern,636,795
Cody Bellinger,635,796
Steve Kemp,634,797
Eric McNair,633,798
Corey Seager,633,799
Juan Soto,633,800
Earle Combs,632,801
Josh Willingham,632,802
Pop Corkhill,631,803
Fielder Jones,631,804
Matt Lawton,631,805
Jacque Jones,630,806
Pete Runnels,630,807
Mark Loretta,629,808
Mark Trumbo,629,809
Frankie Hayes,628,810
Terry Kennedy,628,811
Brandon Belt,627,812
Dave Orr,627,813
Bill Russell,627,814
Mike Bordick,626,815
Chief Zimmer,625,816
José Cruz,624,817
Marty Marion,624,818
Jim Sundberg,624,819
Teoscar Hernández,623,820
Chick Stahl,622,821
Monte Cross,621,822
Jimmie Wilson,621,823
Paul Blair,620,824
Mel Hall,620,825
Howie Shanks,620,826
Tommy Griffith,619,827
Ozzie Guillen,619,828
Dom DiMaggio,618,829
George Gore,618,830
Candy Maldonado,618,831
Mitch Moreland,618,832
Kevin Youkilis,618,833
Ginger Beaumont,617,834
Randal Grichuk,617,835
Bug Holliday,617,836
Clyde Milan,617,837
Casey Blake,616,838
Elbie Fletcher,616,839
Shohei Ohtani,616,840
Tony Gonzalez,615,841
Chuck Knoblauch,615,842
Mark McLemore,615,843
Rusty Greer,614,844
Charlie Hickman,614,845
Ed Kranepool,614,846
Davey Lopes,614,847
Kevin Seitzer,613,848
Kevin Bass,611,849
George Burns,611,850
Don Hurst,610,851
Mike Lieberthal,610,852
Jim Northrup,610,853
Davey Johnson,609,854
Dwayne Murphy,609,855
Martin Prado,609,856
Billy Rogell,609,857
Neil Walker,609,858
Gus Triandos,608,859
Brad Ausmus,607,860
Bill Joyce,607,861
Buddy Lewis,607,862
Trea Turner,607,863
Ken McMullen,606,864
Denis Menke,606,865
Kevin Young,606,866
C.J. Cron,604,867
Greg Gagne,604,868
Willard Marshall,604,869
Glenn Davis,603,870
Jose Hernandez,603,871
Ronnie Belliard,601,872
Eddie Joost,601,873
Elmer Valo,601,874
George Wood,601,875
Rob Deer,600,876
Roy Cullenbine,599,877
Todd Hundley,599,878
Moose Solters,599,879
Jim Spencer,599,880
Pedro Feliz,598,881
Jim Tabor,598,882
Tony Taylor,598,883
Lloyd Waner,598,884
Gary Ward,597,885
Enos Cabell,596,886
Frank Chance,596,887
Chase Headley,596,888
Dansby Swanson,596,889
Ray Knight,595,890
Jed Lowrie,594,891
Roy McMillan,594,892
Johnny Ray,594,893
Ray Schalk,594,894
Ty Wigginton,594,895
Walt Wilmot,594,896
Dick Hoblitzell,593,897
Cookie Rojas,593,898
Fred Schulte,593,899
Jimmy Wolf,593,900
John Kruk,592,901
Ross Youngs,592,902
Dave Bancroft,591,903
Frank Demaree,591,904
Billy Goodman,591,905
Yasmani Grandal,591,906
Sixto Lezcano,591,907
Hector Lopez,591,908
Bill Melton,591,909
Troy O'Leary,591,910
Jim Piersall,591,911
Khris Davis,590,912
Alexei Ramirez,590,913
Chris Young,590,914
David Bell,589,915
Sandy Alomar Jr.,588,916
Darren Daulton,588,917
Rafael Furcal,587,918
Ryan Ludwick,587,919
Richie Ashburn,586,920
Rube Bressler,586,921
Wilmer Flores,586,922
Glenallen Hill,586,923
B.J. Upton,586,924
Roberto Kelly,585,925
Orlando Merced,585,926
Manny Sanguillen,585,927
Willie Wilson,585,928
Vince DiMaggio,584,929
Darrin Fletcher,583,930
Eddie Rosario,583,931
Kole Calhoun,582,932
Bob Fothergill,582,933
Max Muncy,582,934
Tommy Holmes,581,935
Jack Tobin,581,936
Dave Martinez,580,937
Shannon Stewart,580,938
Ruppert Jones,579,939
Red Murray,579,940
Brett Butler,578,941
Brett Gardner,578,942
Jim Ray Hart,578,943
Bill Lange,578,944
Trevor Story,578,945
Dode Paskert,577,946
Ken Henderson,576,947
Gil McDougald,576,948
George Selkirk,576,949
Jerry Mumphrey,575,950
Josh Reddick,575,951
Stan Spence,575,952
Tom Herr,574,953
David DeJesus,573,954
Odell Hale,573,955
Joe Dugan,571,956
Adam Kennedy,571,957
Manny Trillo,571,958
Chief Wilson,571,959
Ferris Fain,570,960
Charles Johnson,570,961
Jerry Morales,570,962
Justin Smoak,570,963
Jack Boyle,569,964
Babe Dahlgren,569,965
David Peralta,569,966
Jim Gantner,568,967
Rougned Odor,568,968
Leo Durocher,567,969
Tommy Harper,567,970
Doggie Miller,567,971
Wil Cordero,566,972
Adam Duvall,566,973
Dan Ford,566,974
Heinie Groh,566,975
Delmon Young,566,976
Hoot Evers,565,977
Paul Sorrento,565,978
Joe Hornung,564,979
Jason Kubel,564,980
George Stovall,564,981
Don Demeter,563,982
Arlie Latham,563,983
Whitey Lockman,563,984
Phil Rizzuto,563,985
Delino DeShields,561,986
Brian Dozier,561,987
Billy Southworth,561,988
John Titus,561,989
Jim Hickman,560,990
Richard Hidalgo,560,991
Frank LaPorte,560,992
Heinie Peitz,560,993
Woodie Held,559,994
Hy Myers,559,995
Jim Gilliam,558,996
Danny Richardson,558,997
Ed Sprague,558,998
John Valentin,558,999
Duff Cooley,557,1000
Chick Gandil,557,1001
