Name,OPS,Rank
Sam Rice,0.801 (.80056),
Freddie Lindstrom,0.800 (.80040),427
Glenn Davis,0.800 (.79963),428
Sixto Lezcano,0.799 (.79935),429
Spud Davis,0.799 (.79918),430
Andy Pafko,0.799 (.79904),431
John Mayberry,0.799 (.79902),432
Larry Hisle,0.799 (.79896),433
Rondell White,0.799 (.79880),434
Corey Dickerson,0.799 (.79872),435
Taffy Wright,0.799 (.79869),436
Nick Swisher,0.799 (.79867),437
Ron Cey,0.799 (.79854),438
Don Mincher,0.798 (.79821),439
Carlos Guillen,0.798 (.79811),440
Tommy Holmes,0.798 (.79799),441
Adam LaRoche,0.798 (.79785),442
Luke Appling,0.798 (.79782),443
Joe Judge,0.798 (.79769),444
Paul Sorrento,0.798 (.79766),445
Ivan Rodriguez,0.798 (.79756),446
Pinky Higgins,0.797 (.79750),447
Carlton Fisk,0.797 (.79741),448
Xander Bogaerts,0.797 (.79726),449
Bill Mueller,0.797 (.79723),450
Pie Traynor,0.797 (.79718),451
Vinny Castilla,0.797 (.79716),452
Chet Lemon,0.797 (.79711),453
Steve Kemp,0.797 (.79703),454
Preston Wilson,0.797 (.79699),455
Ival Goodman,0.797 (.79690),456
Jake Beckley,0.796 (.79650),457
Craig Biggio,0.796 (.79640),458
Daniel Murphy,0.796 (.79631),459
Dean Palmer,0.796 (.79627),460
Gus Suhr,0.796 (.79597),461
Jeff Cirillo,0.796 (.79591),462
Hughie Jennings,0.796 (.79580),463
Walker Cooper,0.796 (.79577),464
Brian Downing,0.796 (.79563),465
Sam West,0.796 (.79556),466
Ryne Sandberg,0.795 (.79549),467
Billy Butler,0.795 (.79548),468
Buddy Myer,0.795 (.79545),469
Al Oliver,0.795 (.79544),470
Leon Wagner,0.795 (.79541),471
King Kelly,0.795 (.79529),472
Mike Griffin,0.795 (.79526),473
Adam Lind,0.795 (.79506),474
Lou Boudreau,0.795 (.79504),475
Jeff Burroughs,0.795 (.79465),476
High Pockets Kelly,0.794 (.79449),477
Kenny Lofton,0.794 (.79443),478
Hal Morris,0.794 (.79426),479
Hunter Pence,0.794 (.79421),480
Bobby Grich,0.794 (.79417),481
Wally Schang,0.794 (.79389),482
Bobby Thomson,0.794 (.79389),
Michael Brantley,0.794 (.79357),484
Ken Caminiti,0.794 (.79351),485
Eugenio Suárez,0.793 (.79339),486
Lenny Dykstra,0.793 (.79306),487
Rusty Staub,0.793 (.79304),488
Torii Hunter,0.793 (.79295),489
Eddie Robinson,0.793 (.79295),
Nick Castellanos,0.792 (.79232),491
John Vander Wal,0.792 (.79212),492
Odell Hale,0.792 (.79209),493
Jerry Lynch,0.792 (.79201),494
Darrell Evans,0.792 (.79177),495
Ian Happ,0.792 (.79176),496
Andy Van Slyke,0.792 (.79173),497
Norm Siebern,0.792 (.79168),498
Matt Chapman,0.792 (.79167),499
Jim Lemon,0.792 (.79158),500
Bill Skowron,0.792 (.79157),501
Lonnie Smith,0.791 (.79136),502
Miguel Tejada,0.791 (.79130),503
AJ Pollock,0.791 (.79124),504
C.J. Cron,0.791 (.79064),505
Stan Hack,0.791 (.79057),506
Phil Bradley,0.790 (.79048),507
Sherry Magee,0.790 (.79044),508
Mack Jones,0.790 (.79042),509
Shannon Stewart,0.790 (.79009),510
Richie Hebner,0.790 (.78995),511
Ken Griffey,0.790 (.78992),512
Seth Smith,0.790 (.78991),513
Cesar Cedeno,0.790 (.78973),514
Elmer Valo,0.790 (.78960),515
Michael Conforto,0.790 (.78952),516
Jeff Conine,0.789 (.78949),517
Ray Boone,0.789 (.78945),518
Lou Whitaker,0.789 (.78905),519
Willie Horton,0.789 (.78898),520
Harry Rice,0.789 (.78874),521
Max Bishop,0.789 (.78873),522
Buddy Lewis,0.789 (.78856),523
Brian McCann,0.789 (.78856),
George Gore,0.788 (.78824),525
Brian Jordan,0.788 (.78812),526
Phil Cavarretta,0.788 (.78791),527
Ray Durham,0.788 (.78780),528
Cal Ripken Jr.,0.788 (.78758),529
Kip Selbach,0.787 (.78743),530
Michael Young,0.787 (.78732),531
Frank Chance,0.787 (.78728),532
Brady Anderson,0.787 (.78727),533
Mickey Vernon,0.787 (.78720),534
Marty McManus,0.787 (.78711),535
Al Smith,0.787 (.78701),536
Mike Hargrove,0.787 (.78693),537
Ben Oglivie,0.786 (.78638),538
Merv Rettenmund,0.786 (.78638),
Rube Bressler,0.786 (.78634),540
Cecil Travis,0.786 (.78589),541
Howard Johnson,0.786 (.78580),542
Gary Roenicke,0.785 (.78542),543
George Bell,0.785 (.78534),544
Matt Lawton,0.785 (.78520),545
Bernard Gilkey,0.785 (.78516),546
Chick Stahl,0.785 (.78504),547
Ted Simmons,0.785 (.78492),548
Garret Anderson,0.785 (.78477),549
Johnny Damon,0.785 (.78476),550
Hank Bauer,0.785 (.78474),551
Pete Rose,0.784 (.78444),552
Ed Bailey,0.784 (.78407),553
Jorge Soler,0.784 (.78405),554
J.T. Snow,0.784 (.78403),555
Dale Mitchell,0.784 (.78402),556
Darren Daulton,0.784 (.78380),557
Jack Tobin,0.784 (.78353),558
Chuck Knoblauch,0.783 (.78348),559
Mike Lieberthal,0.783 (.78322),560
Todd Walker,0.783 (.78303),561
George Burns,0.783 (.78287),562
Al Martin,0.783 (.78280),563
Dan Uggla,0.783 (.78279),564
Ben Zobrist,0.783 (.78253),565
José Cruz,0.782 (.78250),566
David Peralta,0.782 (.78242),567
Starling Marte,0.782 (.78201),568
Johnny Hopp,0.782 (.78200),569
Edgardo Alfonzo,0.782 (.78180),570
Julio Franco,0.782 (.78180),
Mike Cameron,0.782 (.78174),572
Earl Sheely,0.781 (.78150),573
Carlos Santana,0.781 (.78144),574
Elmer Smith,0.781 (.78141),575
Melvin Mora,0.781 (.78138),576
Ryan Ludwick,0.781 (.78136),577
Jay Bruce,0.781 (.78127),578
George Kell,0.781 (.78115),579
Frank McCormick,0.781 (.78105),580
Ed McKean,0.781 (.78089),581
George McQuinn,0.781 (.78076),582
Orlando Merced,0.781 (.78069),583
Josh Bell,0.781 (.78067),584
Nick Markakis,0.781 (.78056),585
Mark Reynolds,0.780 (.78039),586
Johnny Pesky,0.780 (.78035),587
Kendrys Morales,0.780 (.78026),588
Sam Chapman,0.780 (.78015),589
Danny Litwhiler,0.780 (.78002),590
Kevin Seitzer,0.780 (.77971),591
Dave Kingman,0.780 (.77954),592
Troy O'Leary,0.780 (.77953),593
Wally Moses,0.779 (.77949),594
Johnny Grubb,0.779 (.77917),595
Travis Fryman,0.779 (.77871),596
Dusty Baker,0.779 (.77867),597
Eric Karros,0.779 (.77859),598
Rip Radcliff,0.779 (.77854),599
Richie Ashburn,0.778 (.77847),600
Ken Keltner,0.778 (.77847),
Hoot Evers,0.778 (.77833),602
Vernon Wells,0.778 (.77820),603
Casey Blake,0.778 (.77785),604
Jason Kubel,0.778 (.77785),
J.T. Realmuto,0.777 (.77733),606
Don Baylor,0.777 (.77731),607
Ian Kinsler,0.777 (.77701),608
Ira Flagstead,0.776 (.77647),609
Jason Varitek,0.776 (.77610),610
Lyle Overbay,0.776 (.77599),611
Steve Garvey,0.775 (.77544),612
Dexter Fowler,0.775 (.77537),613
Gus Bell,0.775 (.77531),614
Kevin McReynolds,0.775 (.77515),615
Glenn Wright,0.775 (.77505),616
George Hendrick,0.775 (.77497),617
Jacque Jones,0.775 (.77470),618
Steve Finley,0.775 (.77462),619
Jose Cruz,0.774 (.77443),620
Doug DeCinces,0.774 (.77441),621
Elbie Fletcher,0.774 (.77417),622
Frank Thomas,0.774 (.77411),623
David Freese,0.774 (.77407),624
Billy Herman,0.774 (.77384),625
Chris Davis,0.774 (.77359),626
Gary Carter,0.773 (.77346),627
David Dellucci,0.773 (.77342),628
Pablo Sandoval,0.773 (.77328),629
Floyd Robinson,0.773 (.77326),630
Billy Southworth,0.773 (.77308),631
Bob Skinner,0.773 (.77273),632
Red Rolfe,0.773 (.77255),633
Johnny Callison,0.773 (.77251),634
Nate Colbert,0.772 (.77247),635
Hardy Richardson,0.772 (.77243),636
Lee May,0.772 (.77199),637
Frank Demaree,0.772 (.77190),638
Robin Yount,0.772 (.77189),639
Gorman Thomas,0.772 (.77184),640
Scott Hatteberg,0.772 (.77177),641
Lee Stevens,0.772 (.77158),642
Johnny Briggs,0.771 (.77126),643
Adam Jones,0.771 (.77086),644
Charlie Hickman,0.771 (.77077),645
Donn Clendenon,0.771 (.77070),646
Joe Carter,0.771 (.77058),647
Von Hayes,0.770 (.77032),648
Fred Schulte,0.770 (.77026),649
Jim O'Rourke,0.770 (.77025),650
Willard Marshall,0.770 (.76968),651
Travis Jackson,0.770 (.76963),652
Todd Zeile,0.769 (.76949),653
Vada Pinson,0.769 (.76912),654
Yasmani Grandal,0.769 (.76910),655
Jonny Gomes,0.769 (.76893),656
Jose Valentin,0.769 (.76883),657
Amos Otis,0.768 (.76842),658
Ron Fairly,0.768 (.76826),659
Cody Ross,0.768 (.76809),660
Randal Grichuk,0.768 (.76787),661
Mike Marshall,0.768 (.76781),662
Roberto Kelly,0.767 (.76749),663
George Scott,0.767 (.76741),664
Todd Hollandsworth,0.767 (.76740),665
Matt Joyce,0.767 (.76737),666
Howie Kendrick,0.767 (.76711),667
Red Kress,0.767 (.76698),668
Dave Magadan,0.767 (.76693),669
Joe Ferguson,0.767 (.76683),670
Alan Trammell,0.767 (.76683),
Bret Boone,0.767 (.76666),672
Dan Driessen,0.767 (.76660),673
Brian Dozier,0.766 (.76650),674
Juan Rivera,0.766 (.76633),675
Don Demeter,0.766 (.76622),676
Rob Deer,0.766 (.76614),677
George Davis,0.766 (.76613),678
Tilly Walker,0.766 (.76602),679
Casey Stengel,0.766 (.76601),680
Brandon Moss,0.766 (.76576),681
Gil McDougald,0.766 (.76574),682
Jack Clements,0.766 (.76570),683
Gregg Jefferies,0.765 (.76546),684
Eddie Yost,0.765 (.76546),
Steve Henderson,0.765 (.76543),686
Aaron Rowand,0.765 (.76543),
Carl Crawford,0.765 (.76529),688
David Murphy,0.765 (.76521),689
Joe Randa,0.765 (.76511),690
Bake McBride,0.765 (.76493),691
Ruben Sierra,0.765 (.76487),692
Shane Victorino,0.765 (.76486),693
Jorge Polanco,0.765 (.76475),694
Harvey Kuenn,0.765 (.76469),695
Doug Mientkiewicz,0.765 (.76466),696
Larry Doyle,0.765 (.76464),697
Joe Kuhel,0.765 (.76457),698
Jimmy Dykes,0.764 (.76439),699
Neil Walker,0.764 (.76434),700
Andy Seminick,0.764 (.76385),701
Rickie Weeks,0.764 (.76382),702
Roy White,0.764 (.76382),
Austin Kearns,0.764 (.76377),704
Mitch Moreland,0.764 (.76372),705
Tommy Pham,0.764 (.76364),706
Tony Gonzalez,0.764 (.76351),707
Todd Frazier,0.763 (.76343),708
Roger Bresnahan,0.763 (.76339),709
Tony Phillips,0.763 (.76329),710
Wil Myers,0.763 (.76327),711
Kyle Seager,0.763 (.76319),712
Darrell Porter,0.763 (.76304),713
John Reilly,0.763 (.76291),714
Jim Northrup,0.763 (.76272),715
Charlie Jamieson,0.763 (.76270),716
Todd Hundley,0.763 (.76266),717
Michael Tucker,0.763 (.76251),718
Charles Johnson,0.762 (.76249),719
Eric Hinske,0.762 (.76197),720
Eric Hosmer,0.762 (.76193),721
Kevin Young,0.762 (.76187),722
Rich Aurilia,0.762 (.76174),723
Pete Fox,0.762 (.76163),724
Gee Walker,0.761 (.76137),725
Al Zarilla,0.761 (.76131),726
David DeJesus,0.761 (.76108),727
Tom Brunansky,0.761 (.76096),728
Jose Reyes,0.761 (.76095),729
